name,estimate,std.error,conf.low,conf.high,p.value,model
D,0.0575,0.0293,0.0002,0.1149,0.0494,Regular
FDI,0.0094,0.0016,0.0062,0.0126,0.0000,Regular
RD_investment,0.0000,0.0000,0.0000,0.0000,0.6273,Regular
Regional_state_owned_capital_revenue,-0.0002,0.0002,-0.0006,0.0001,0.1441,Regular
Road,-0.0083,0.0027,-0.0135,-0.0030,0.0020,Regular
Urban_population,0.0001,0.0000,0.0000,0.0002,0.0020,Regular
education_expenditure,-0.0002,0.0001,-0.0003,-0.0001,0.0023,Regular
industrial_level,1.0266,0.1870,0.6602,1.3930,0.0000,Regular
industrial_water_usage,-0.0037,0.0008,-0.0053,-0.0020,0.0000,Regular
informalization,-0.1301,0.0669,-0.2613,0.0011,0.0519,Regular
tech,-0.0003,0.0002,-0.0006,0.0001,0.1223,Regular
